model,harness,task,verdict,leaked,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,costOfficialUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens,turns,toolCalls,readSingle,readBatch,grepCalls,bashCalls,editCalls,writeCalls
deepseek-v4-flash,dsh,t26-logfilter,pass,false,63.4,63.3,1,75169,8088,12169,54912,0,0.000000,0.017358672000000002,268,4,572,false,0,0,0,0,0,0,0,0,0,0,7,6,0,0,,6,,
deepseek-v4-flash,dsh,t27-tarpeek,pass,false,87.1,85.7,1,223640,13276,13756,196608,0,0.000000,0.021669648,95,2,599,false,0,0,0,0,0,0,0,0,0,0,15,14,0,0,,14,,
deepseek-v4-flash,dsh,t28-docbackfill,pass,false,11.2,11.1,1,20982,4645,1233,15104,0,0.000000,0.0029637239999999996,18,9,654,false,0,0,0,0,0,0,0,0,0,0,6,5,0,0,,5,,
deepseek-v4-flash,dsh,t29-logrollup,pass,false,6.7,6.7,1,7562,2232,594,4736,0,0.000000,0.001410816,436,0,639,false,0,0,0,0,0,0,0,0,0,0,4,3,0,0,,3,,
deepseek-v4-flash,dsh,t30-ifacedrift,pass,false,7.3,7.2,1,15561,6144,713,8704,0,0.000000,0.002751024,48,48,637,false,0,0,0,0,0,0,0,0,0,0,4,6,0,0,,6,,
deepseek-v4-flash,niffler,t01-roman,pass,false,6.2,5.8,1,15747,3820,407,11520,0,0.001868,0.00170352,13,1,2962,false,0,0,0,0,0,0,0,0,0,0,4,3,0,0,,2,1,
deepseek-v4-flash,niffler,t02-jsonrepair,pass,false,17.3,17.1,1,39230,2491,2563,34176,0,0.004584,0.004027956,72,1,3012,false,0,0,0,0,0,0,0,0,0,0,7,8,3,0,,4,,1
deepseek-v4-flash,niffler,t03-ringbuffer,pass,false,10.5,9.8,1,21261,2287,670,18304,0,0.001924,0.001599924,15,4,2981,false,0,0,0,0,0,0,0,0,0,0,5,4,0,0,,3,1,
deepseek-v4-flash,niffler,t04-csvbugfix,pass,false,7.4,7.3,1,20273,1933,548,17792,0,0.001670,0.001344252,3,3,2938,false,0,0,0,0,0,0,0,0,0,0,5,5,0,0,,4,1,
deepseek-v4-flash,niffler,t05-todostore,pass,false,7.8,7.6,1,22138,2569,753,18816,0,0.002112,0.001787196,20,4,2922,false,0,0,0,0,0,0,0,0,0,0,5,4,0,0,,3,1,
deepseek-v4-flash,niffler,t06-stackvm,pass,false,35.7,35.3,1,71024,6858,7590,56576,0,0.012178,0.011504855999999999,155,30,2965,false,0,0,0,0,0,0,0,0,0,0,6,9,5,0,,2,,2
deepseek-v4-flash,niffler,t07-validate,pass,false,8.8,8.7,1,22807,2190,1033,19584,0,0.002346,0.0020141039999999996,21,6,2933,false,0,0,0,0,0,0,0,0,0,0,5,5,1,0,,3,,1
deepseek-v4-flash,niffler,t08-logsum,pass,false,20.9,20.6,1,49318,3399,2015,43904,0,0.004488,0.0037011239999999996,80,4,2930,false,0,0,0,0,0,0,0,0,0,0,9,13,7,0,,3,1,2
deepseek-v4-flash,niffler,t09-poolrace,pass,false,12.6,11.1,1,22095,2323,828,18944,0,0.002132,0.001804164,7,4,2948,false,0,0,0,0,0,0,0,0,0,0,5,6,3,0,,2,1,
deepseek-v4-flash,niffler,t10-iniparse,pass,false,13,10.9,1,22530,2237,837,19456,0,0.002132,0.001792236,9,6,2936,false,0,0,0,0,0,0,0,0,0,0,5,4,0,0,,3,,1
deepseek-v4-flash,niffler,t11-asyncbugs,pass,false,7.7,7.4,1,21645,2136,693,18816,0,0.001921,0.0015852960000000001,5,10,2933,false,0,0,0,0,0,0,0,0,0,0,5,4,0,0,,3,,1
deepseek-v4-flash,niffler,t12-refactor,pass,false,8.5,8.1,1,20678,2224,534,17920,0,0.001740,0.00141552,2,4,2939,false,0,0,0,0,0,0,0,0,0,0,5,4,0,0,,3,1,
deepseek-v4-flash,niffler,t13-batchrename,pass,false,4.3,4,1,11714,1821,293,9600,0,0.001118,0.0009554999999999999,27,27,2955,false,0,0,0,0,0,0,0,0,0,0,3,2,0,0,,2,,
deepseek-v4-flash,niffler,t14-todosweep,pass,false,9.8,9.7,1,23513,2460,957,20096,0,0.002350,0.0020069759999999997,18,0,2948,false,0,0,0,0,0,0,0,0,0,0,5,10,4,0,,6,,
deepseek-v4-flash,niffler,t15-pollstats,pass,false,25.9,25.6,1,63351,6052,2259,55040,0,0.005829,0.00485664,1,0,2960,false,0,0,0,0,0,0,0,0,0,0,9,12,0,1,,2,,
deepseek-v4-flash,niffler,t16-apisum,pass,false,10.8,9.6,1,20311,1934,457,17920,0,0.001570,0.0012361199999999998,20,0,2962,false,0,0,0,0,0,0,0,0,0,0,5,7,4,0,,2,,1
deepseek-v4-flash,niffler,t17-doccheck,pass,false,34.8,34.3,1,64117,4485,3440,56192,0,0.006764,0.005810652,114,0,3040,false,0,0,0,0,0,0,0,0,0,0,9,19,3,0,,6,8,2
deepseek-v4-flash,niffler,t18-lruttl,pass,false,14.5,14.1,1,26725,3631,2102,20992,0,0.004012,0.003737652,109,12,2947,false,0,0,0,0,0,0,0,0,0,0,4,8,5,0,,2,,1
deepseek-v4-flash,niffler,t19-tokbucket,pass,false,8.8,8.7,1,23194,3720,1170,18304,0,0.002899,0.0026298240000000002,25,11,2925,false,0,0,0,0,0,0,0,0,0,0,4,7,4,0,,2,1,
deepseek-v4-flash,niffler,t20-jsonpatch,pass,false,28,27.6,1,74948,6726,4350,63872,0,0.008651,0.007621032,209,13,2943,false,0,0,0,0,0,0,0,0,0,0,8,7,0,0,,4,2,1
deepseek-v4-flash,niffler,t21-wireproto,pass,false,28.3,27.9,1,58887,4159,5448,49280,0,0.008768,0.00808098,62,8,2926,false,0,0,0,0,0,0,0,0,0,0,7,7,1,0,,5,,1
deepseek-v4-flash,niffler,t22-cronnext,pass,false,22.1,22,1,36865,4555,3766,28544,0,0.006382,0.006056964,103,12,2944,false,0,0,0,0,0,0,0,0,0,0,5,7,4,0,,2,,1
deepseek-v4-flash,niffler,t23-mergesched,pass,false,10.5,10.2,1,15871,2385,1710,11776,0,0.002954,0.002838156,75,4,2924,false,0,0,0,0,0,0,0,0,0,0,3,3,0,0,,2,,1
deepseek-v4-flash,niffler,t24-editops,pass,false,18.1,17.9,1,37343,3395,3356,30592,0,0.005643,0.005229251999999999,86,6,2936,false,0,0,0,0,0,0,0,0,0,0,6,5,0,0,,4,,1
deepseek-v4-flash,niffler,t25-shardmap,pass,false,15,13.5,1,27243,3347,1240,22656,0,0.002995,0.0026280360000000003,91,16,2940,false,0,0,0,0,0,0,0,0,0,0,5,6,2,0,,3,,1
deepseek-v4-flash,niffler,t26-logfilter,pass,false,29.5,29.3,1,57322,5168,5690,46464,0,0.009250,0.008657184,259,4,2912,false,0,0,0,0,0,0,0,0,0,0,6,9,4,0,,3,1,1
deepseek-v4-flash,niffler,t27-tarpeek,pass,false,41.2,39.5,1,128546,9417,6105,113024,0,0.012789,0.010829244,85,1,2939,false,0,0,0,0,0,0,0,0,0,0,11,14,4,0,,8,1,1
deepseek-v4-flash,niffler,t28-docbackfill,pass,false,21,20.7,1,71538,6570,2120,62848,0,0.006036,0.004892088,18,9,2994,false,0,0,0,0,0,0,0,0,0,0,11,10,0,0,,8,,
deepseek-v4-flash,niffler,t29-logrollup,pass,false,9.9,9.8,1,36337,5241,888,30208,0,0.003341,0.0028191479999999996,436,0,2979,false,0,0,0,0,0,0,0,0,0,0,6,5,0,0,,2,,1
deepseek-v4-flash,niffler,t30-ifacedrift,pass,false,11.4,11.3,1,50910,6244,1018,43648,0,0.004150,0.0033566879999999996,48,48,2977,false,0,0,0,0,0,0,0,0,0,0,7,9,3,0,,5,,1
